train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
2.352, 11.502, 2.289, 16.420, 28.53, 2.69
2.310, 13.836, 2.249, 18.430, 29.60, 2.62
2.275, 15.676, 2.211, 20.130, 29.65, 2.69
2.244, 17.298, 2.176, 21.110, 29.54, 2.51
2.212, 18.582, 2.137, 21.860, 29.39, 2.57
2.175, 19.938, 2.103, 22.110, 29.81, 2.62
2.141, 20.618, 2.068, 22.750, 29.52, 2.48
2.112, 21.258, 2.044, 23.400, 29.66, 2.82
2.088, 21.748, 2.026, 23.990, 29.98, 2.58
2.067, 22.292, 2.011, 24.520, 30.01, 2.45
2.048, 23.062, 1.997, 24.860, 29.92, 2.60
2.029, 23.638, 1.982, 25.600, 30.22, 2.65
2.016, 24.360, 1.971, 26.020, 30.12, 2.43
2.001, 24.566, 1.954, 26.560, 30.03, 2.47
1.986, 25.308, 1.938, 27.490, 30.09, 2.60
1.972, 25.828, 1.918, 28.290, 30.21, 2.49
1.956, 26.516, 1.906, 29.120, 30.29, 2.30
1.945, 26.660, 1.893, 29.770, 30.29, 2.42
1.930, 27.836, 1.881, 30.160, 30.32, 2.46
1.921, 27.762, 1.866, 30.870, 30.27, 2.34
1.908, 28.586, 1.853, 31.520, 30.14, 2.29
1.894, 29.056, 1.839, 32.260, 30.02, 2.33
1.884, 29.340, 1.827, 32.640, 30.00, 2.46
1.874, 29.706, 1.815, 33.090, 29.93, 2.62
1.864, 30.320, 1.803, 33.560, 29.90, 2.71
1.855, 30.540, 1.792, 33.960, 29.84, 2.60
1.847, 30.832, 1.782, 34.220, 29.64, 2.70
1.837, 31.208, 1.768, 34.980, 29.67, 2.70
1.826, 31.590, 1.761, 34.910, 29.38, 2.65
1.816, 32.148, 1.749, 35.480, 29.36, 2.88
1.809, 32.282, 1.737, 35.810, 29.45, 2.73
1.800, 32.654, 1.730, 36.140, 29.18, 2.81
1.794, 32.916, 1.719, 36.580, 29.45, 2.77
1.787, 33.190, 1.709, 36.770, 29.51, 2.92
1.778, 33.552, 1.700, 37.150, 29.33, 2.86
1.773, 33.698, 1.692, 37.510, 29.34, 2.83
1.766, 33.714, 1.686, 37.490, 29.49, 2.66
1.758, 34.214, 1.675, 37.880, 29.16, 2.76
1.752, 34.548, 1.672, 38.060, 29.25, 2.68
1.747, 34.540, 1.666, 38.310, 29.53, 2.87
1.739, 35.294, 1.657, 38.680, 29.43, 2.74
1.736, 35.322, 1.650, 38.980, 29.40, 2.82
1.727, 35.584, 1.647, 38.950, 29.52, 2.89
1.720, 35.680, 1.639, 39.290, 29.05, 2.72
1.715, 35.770, 1.632, 39.560, 29.35, 2.61
1.708, 36.504, 1.629, 39.560, 29.55, 2.60
1.705, 36.474, 1.621, 39.790, 29.39, 2.83
1.698, 36.870, 1.615, 40.090, 29.44, 2.67
1.693, 37.102, 1.607, 40.600, 29.48, 2.66
1.688, 37.264, 1.605, 40.540, 29.42, 2.75
1.685, 37.416, 1.597, 40.830, 29.36, 2.80
1.680, 37.310, 1.593, 41.090, 29.21, 2.82
1.673, 37.726, 1.585, 41.320, 29.28, 2.84
1.672, 37.554, 1.582, 41.250, 29.39, 2.91
1.664, 38.206, 1.580, 41.420, 29.47, 2.76
1.664, 38.086, 1.576, 41.370, 29.55, 2.86
1.655, 38.728, 1.574, 41.500, 29.47, 2.81
1.651, 38.530, 1.564, 41.820, 29.72, 2.92
1.647, 38.718, 1.559, 42.170, 29.50, 2.78
1.645, 38.980, 1.554, 42.350, 29.62, 2.73
1.641, 39.296, 1.553, 42.290, 29.30, 2.72
1.639, 38.890, 1.551, 42.400, 29.35, 2.77
1.634, 39.406, 1.546, 42.690, 29.41, 2.64
1.629, 39.672, 1.540, 42.740, 29.54, 2.67
1.627, 39.494, 1.535, 42.810, 29.68, 2.67
1.618, 39.944, 1.533, 42.940, 29.54, 2.64
1.618, 40.086, 1.530, 43.270, 29.55, 2.66
1.611, 40.194, 1.525, 43.550, 29.88, 2.76
1.609, 40.552, 1.523, 43.470, 29.65, 2.53
1.606, 40.320, 1.520, 43.410, 29.64, 2.64
1.602, 40.688, 1.514, 43.760, 29.47, 2.60
1.596, 41.008, 1.512, 43.990, 29.73, 2.64
1.599, 40.740, 1.508, 43.980, 29.56, 2.51
1.589, 41.166, 1.503, 44.030, 29.47, 2.67
1.589, 40.990, 1.502, 44.050, 29.67, 2.67
1.586, 41.198, 1.501, 44.410, 29.40, 2.55
1.581, 41.494, 1.494, 44.340, 29.66, 2.57
1.578, 41.642, 1.491, 44.460, 29.47, 2.61
1.573, 41.818, 1.486, 44.790, 29.47, 2.63
1.573, 41.640, 1.486, 44.670, 29.37, 2.49
1.569, 42.058, 1.484, 44.710, 29.50, 2.53
1.570, 42.056, 1.481, 44.800, 29.63, 2.56
1.563, 42.462, 1.478, 45.020, 29.68, 2.49
1.562, 42.286, 1.475, 44.910, 29.77, 2.33
1.560, 42.278, 1.473, 45.110, 29.89, 2.57
1.556, 42.670, 1.468, 45.340, 30.03, 2.60
1.554, 42.430, 1.466, 45.440, 30.09, 2.57
1.550, 42.632, 1.464, 45.610, 30.05, 2.51
1.547, 42.874, 1.460, 45.700, 30.32, 2.57
1.546, 42.938, 1.460, 45.700, 30.10, 2.67
1.544, 43.086, 1.454, 45.840, 30.60, 2.59
1.539, 43.494, 1.452, 45.950, 30.37, 2.77
1.537, 43.212, 1.451, 46.090, 30.13, 2.67
1.533, 43.264, 1.449, 46.190, 29.82, 2.61
1.530, 43.750, 1.447, 46.240, 29.67, 2.82
1.527, 43.826, 1.441, 46.400, 29.55, 2.73
1.527, 43.640, 1.440, 46.450, 29.71, 2.84
1.526, 43.872, 1.436, 46.630, 29.41, 2.77
1.524, 43.972, 1.440, 46.770, 29.42, 2.72
1.519, 43.964, 1.434, 46.720, 29.42, 2.74
1.519, 44.076, 1.434, 46.780, 29.52, 2.79
1.516, 44.082, 1.430, 46.810, 29.37, 2.67
1.515, 44.162, 1.431, 46.980, 29.32, 2.63
1.509, 44.472, 1.421, 47.230, 29.22, 2.65
1.507, 44.464, 1.425, 47.290, 29.49, 2.79
1.502, 44.686, 1.423, 47.430, 29.46, 2.71
1.502, 44.748, 1.417, 47.520, 29.27, 3.00
1.504, 44.476, 1.415, 47.650, 29.53, 2.84
1.503, 44.848, 1.414, 47.850, 29.45, 2.70
1.494, 45.474, 1.412, 47.820, 29.41, 2.67
1.498, 45.008, 1.411, 47.650, 29.37, 2.69
1.495, 45.086, 1.408, 48.140, 29.49, 2.74
1.492, 45.084, 1.408, 48.140, 29.59, 2.65
1.490, 45.426, 1.403, 48.180, 29.22, 2.66
1.485, 45.430, 1.404, 48.150, 29.39, 2.75
1.487, 45.364, 1.402, 48.220, 29.58, 2.87
1.481, 45.548, 1.397, 48.420, 29.55, 2.86
1.484, 45.462, 1.398, 48.370, 29.47, 2.88
1.481, 45.504, 1.394, 48.540, 25.14, 1.69
1.478, 45.718, 1.391, 48.770, 15.33, 1.59
