train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.924, 28.414, 1.711, 36.530, 15.28, 1.61
1.730, 35.504, 1.606, 40.010, 15.19, 1.56
1.660, 38.036, 1.557, 41.600, 15.24, 1.60
1.616, 39.980, 1.524, 42.900, 15.50, 1.74
1.583, 41.140, 1.488, 44.270, 15.72, 1.75
1.559, 42.266, 1.463, 45.420, 15.61, 1.75
1.536, 43.328, 1.443, 46.380, 26.13, 2.66
1.518, 44.252, 1.434, 46.530, 29.16, 2.78
1.500, 44.542, 1.414, 47.450, 29.44, 2.74
1.488, 45.338, 1.404, 48.140, 29.21, 3.39
1.474, 45.978, 1.395, 48.430, 29.54, 3.22
1.465, 46.158, 1.383, 48.970, 29.79, 3.85
1.453, 47.056, 1.369, 49.520, 36.79, 4.89
1.442, 47.182, 1.357, 50.110, 43.68, 4.74
1.431, 47.430, 1.348, 50.460, 55.26, 4.92
1.424, 47.870, 1.344, 50.600, 30.66, 2.68
1.415, 48.322, 1.333, 50.970, 30.07, 2.60
1.407, 48.602, 1.326, 51.430, 30.29, 2.51
1.397, 49.074, 1.320, 51.680, 30.24, 2.53
1.393, 49.058, 1.315, 51.800, 29.94, 2.56
1.386, 49.578, 1.310, 52.010, 29.73, 2.72
1.377, 49.802, 1.304, 52.370, 29.55, 2.85
1.373, 50.030, 1.297, 52.680, 29.45, 2.71
1.365, 50.300, 1.292, 52.870, 29.65, 2.65
1.361, 50.572, 1.289, 52.970, 29.54, 2.89
1.354, 50.774, 1.281, 53.190, 29.65, 2.66
1.348, 51.288, 1.279, 53.560, 29.61, 2.63
1.346, 51.264, 1.274, 53.620, 29.69, 2.77
1.339, 51.676, 1.270, 53.810, 29.49, 2.68
1.336, 51.704, 1.265, 54.140, 29.66, 2.79
1.331, 51.768, 1.262, 54.080, 29.54, 2.86
1.326, 52.054, 1.259, 54.350, 29.48, 2.93
1.321, 52.364, 1.252, 54.590, 29.49, 2.72
1.316, 52.344, 1.248, 54.790, 29.45, 2.82
1.316, 52.378, 1.246, 54.860, 29.68, 2.65
