train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.590, 41.254, 1.387, 50.060, 29.48, 2.77
1.212, 56.410, 1.095, 61.310, 29.25, 2.70
1.018, 64.070, 0.964, 66.150, 29.30, 2.75
0.891, 68.712, 0.818, 71.320, 29.54, 2.82
0.792, 72.166, 0.793, 72.270, 29.27, 2.72
0.722, 74.778, 0.732, 74.710, 29.53, 2.73
0.660, 77.102, 0.679, 76.410, 29.39, 2.71
0.617, 78.434, 0.654, 77.420, 29.13, 2.49
0.574, 80.002, 0.615, 79.420, 29.82, 2.58
0.540, 81.294, 0.585, 80.030, 29.72, 2.58
0.508, 82.410, 0.567, 81.020, 29.69, 2.54
0.484, 83.278, 0.547, 81.410, 30.13, 2.69
0.455, 84.294, 0.531, 81.570, 29.92, 2.67
0.430, 85.010, 0.507, 82.790, 29.95, 2.52
0.418, 85.502, 0.532, 82.030, 29.79, 2.44
0.399, 86.128, 0.485, 83.410, 30.14, 2.46
0.378, 86.904, 0.461, 84.200, 30.03, 2.51
0.364, 87.440, 0.465, 84.390, 30.20, 2.38
0.349, 87.958, 0.464, 84.390, 30.21, 2.47
0.334, 88.304, 0.456, 84.890, 30.16, 2.34
0.321, 88.846, 0.464, 84.890, 29.73, 2.29
0.307, 89.222, 0.435, 86.010, 29.71, 2.46
0.297, 89.668, 0.435, 85.700, 29.76, 2.68
0.287, 89.858, 0.447, 85.580, 29.57, 2.53
0.274, 90.430, 0.538, 82.680, 29.72, 2.50
0.263, 90.760, 0.441, 86.220, 29.61, 2.60
0.252, 91.162, 0.431, 86.520, 29.20, 2.84
0.245, 91.510, 0.412, 86.840, 29.19, 2.71
0.233, 91.790, 0.439, 86.560, 29.22, 2.74
0.229, 91.968, 0.411, 87.090, 29.08, 2.78
0.222, 92.248, 0.433, 86.740, 29.00, 2.80
0.211, 92.650, 0.424, 86.710, 28.91, 2.78
0.204, 92.844, 0.428, 86.560, 28.87, 2.78
0.192, 93.316, 0.447, 86.650, 29.09, 2.61
0.190, 93.336, 0.429, 86.930, 28.46, 2.67
0.187, 93.328, 0.418, 87.100, 28.82, 2.84
0.176, 93.840, 0.450, 86.390, 28.76, 2.71
0.170, 94.004, 0.418, 87.460, 29.08, 2.90
0.162, 94.184, 0.480, 86.320, 28.99, 2.72
0.160, 94.342, 0.453, 87.220, 29.07, 2.60
0.154, 94.578, 0.479, 86.380, 28.80, 2.67
0.150, 94.798, 0.453, 87.350, 28.98, 2.73
0.148, 94.734, 0.466, 87.090, 29.22, 2.83
0.147, 94.756, 0.450, 87.510, 28.98, 2.86
0.134, 95.242, 0.471, 87.030, 28.97, 2.60
0.133, 95.300, 0.436, 87.380, 29.01, 2.61
0.125, 95.672, 0.436, 87.930, 29.16, 2.84
0.124, 95.628, 0.472, 87.520, 28.97, 2.74
0.121, 95.678, 0.439, 88.020, 28.84, 2.73
0.120, 95.800, 0.466, 87.610, 28.96, 2.81
0.110, 96.140, 0.496, 86.920, 28.79, 2.59
0.108, 96.118, 0.466, 87.640, 28.68, 2.95
0.106, 96.248, 0.447, 88.560, 29.05, 2.94
0.104, 96.242, 0.462, 87.640, 28.96, 2.68
0.105, 96.234, 0.440, 88.430, 29.00, 2.67
0.099, 96.478, 0.451, 88.270, 28.82, 2.58
0.096, 96.520, 0.475, 87.590, 28.76, 2.72
0.098, 96.492, 0.464, 87.940, 28.85, 2.71
0.091, 96.764, 0.450, 88.550, 28.95, 2.68
0.090, 96.780, 0.467, 88.240, 28.68, 2.72
0.092, 96.748, 0.473, 88.290, 28.97, 2.75
0.085, 96.982, 0.442, 88.850, 29.32, 2.64
0.080, 97.116, 0.491, 88.020, 28.72, 2.82
0.081, 97.100, 0.480, 88.410, 29.09, 2.66
0.083, 96.990, 0.499, 88.130, 28.96, 2.56
0.079, 97.220, 0.493, 88.120, 29.13, 2.76
0.077, 97.296, 0.530, 88.100, 29.06, 2.57
0.075, 97.416, 0.487, 88.320, 29.00, 2.53
0.076, 97.336, 0.511, 88.520, 29.10, 2.57
0.074, 97.410, 0.511, 88.070, 29.23, 2.55
0.071, 97.508, 0.476, 88.740, 29.06, 2.64
0.066, 97.634, 0.469, 89.180, 29.06, 2.58
0.064, 97.782, 0.494, 88.650, 28.98, 2.63
0.067, 97.652, 0.484, 88.840, 29.47, 2.67
0.064, 97.790, 0.497, 88.920, 28.91, 2.46
0.063, 97.760, 0.556, 87.610, 28.93, 2.68
0.063, 97.760, 0.504, 88.830, 28.91, 2.54
0.062, 97.762, 0.511, 88.650, 29.22, 2.59
0.059, 97.944, 0.486, 88.780, 29.03, 2.59
0.059, 97.910, 0.499, 88.820, 29.13, 2.62
0.060, 97.882, 0.519, 88.220, 29.11, 2.63
0.056, 97.992, 0.517, 88.640, 29.18, 2.58
0.056, 98.048, 0.532, 88.740, 29.44, 2.55
0.058, 97.986, 0.480, 89.220, 29.45, 2.52
0.052, 98.206, 0.507, 88.870, 29.45, 2.47
0.053, 98.120, 0.510, 88.850, 29.62, 2.54
0.055, 98.078, 0.503, 89.000, 29.65, 2.71
0.054, 98.142, 0.512, 88.850, 29.66, 2.57
0.049, 98.254, 0.517, 88.930, 29.70, 2.64
0.051, 98.172, 0.507, 89.510, 30.01, 2.54
0.051, 98.226, 0.501, 89.150, 29.94, 2.38
0.053, 98.152, 0.541, 88.760, 30.52, 2.56
0.045, 98.376, 0.527, 89.050, 29.86, 2.48
0.046, 98.360, 0.519, 89.060, 29.67, 2.49
0.046, 98.392, 0.517, 89.140, 29.14, 2.55
0.048, 98.402, 0.521, 88.880, 29.17, 2.66
0.046, 98.380, 0.559, 88.350, 29.11, 2.62
0.044, 98.488, 0.526, 88.880, 28.97, 2.63
0.042, 98.494, 0.557, 88.860, 29.24, 2.70
0.043, 98.502, 0.513, 89.450, 29.02, 2.72
0.043, 98.484, 0.514, 89.390, 28.95, 2.80
0.048, 98.354, 0.544, 89.070, 28.93, 2.68
0.045, 98.402, 0.521, 89.050, 28.93, 2.75
0.040, 98.642, 0.501, 89.600, 29.31, 2.78
0.041, 98.542, 0.540, 89.030, 29.08, 2.79
0.038, 98.690, 0.559, 88.530, 29.29, 2.58
0.043, 98.468, 0.590, 88.150, 28.94, 2.77
0.041, 98.548, 0.519, 89.590, 28.88, 2.77
0.041, 98.574, 0.529, 89.410, 28.85, 2.76
0.040, 98.610, 0.555, 88.870, 28.74, 2.84
0.035, 98.764, 0.554, 88.700, 29.24, 2.75
0.037, 98.704, 0.541, 88.840, 29.16, 2.85
0.038, 98.668, 0.539, 88.940, 29.07, 2.80
0.037, 98.686, 0.562, 89.010, 28.88, 2.78
0.040, 98.610, 0.561, 89.060, 29.09, 2.87
0.034, 98.830, 0.554, 89.190, 29.14, 2.83
0.034, 98.818, 0.542, 89.580, 29.09, 2.90
0.038, 98.682, 0.507, 89.700, 29.27, 2.95
0.038, 98.654, 0.547, 89.170, 29.19, 2.91
0.035, 98.776, 0.571, 89.020, 28.97, 2.92
