train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.496s, 44.828s, 1.286s,57.13, 15.99s, 1.56s
1.011s, 63.966s, 1.174s,62.37, 15.37s, 1.66s
0.779s, 72.656s, 0.815s,72.58, 15.42s, 1.63s
0.658s, 77.250s, 0.730s,76.24, 15.50s, 1.61s
0.588s, 79.596s, 0.748s,75.83, 15.50s, 1.54s
0.525s, 81.656s, 0.727s,77.63, 15.60s, 1.66s
0.476s, 83.638s, 0.515s,82.57, 15.66s, 1.68s
0.443s, 84.588s, 0.543s,82.15, 15.68s, 1.64s
0.409s, 85.832s, 0.542s,82.21, 15.80s, 1.51s
0.387s, 86.392s, 0.546s,82.57, 15.78s, 1.61s
0.357s, 87.440s, 0.468s,84.92, 15.84s, 1.59s
0.336s, 88.500s, 0.435s,85.12, 15.91s, 1.56s
0.321s, 88.832s, 0.579s,81.72, 15.93s, 1.61s
0.300s, 89.562s, 0.417s,86.44, 15.92s, 1.66s
0.285s, 89.996s, 0.427s,86.54, 15.96s, 1.48s
0.271s, 90.472s, 0.423s,86.29, 15.92s, 1.53s
0.258s, 90.862s, 0.386s,87.54, 16.03s, 1.58s
0.246s, 91.300s, 0.484s,85.15, 16.02s, 1.54s
0.232s, 91.846s, 0.373s,88.3, 16.05s, 1.63s
0.220s, 92.228s, 0.437s,87.33, 16.03s, 1.57s
0.211s, 92.602s, 0.380s,88.17, 16.03s, 1.58s
0.199s, 93.074s, 0.365s,88.71, 16.04s, 1.73s
0.195s, 93.140s, 0.398s,88, 16.04s, 1.55s
0.182s, 93.628s, 0.397s,88.5, 16.03s, 1.51s
0.177s, 93.774s, 0.417s,87.62, 16.01s, 1.58s
0.173s, 93.896s, 0.370s,89.02, 16.03s, 1.65s
0.164s, 94.096s, 0.373s,88.87, 16.01s, 1.56s
0.157s, 94.440s, 0.431s,87.63, 15.99s, 1.66s
0.148s, 94.908s, 0.367s,89.27, 16.02s, 1.59s
0.142s, 94.896s, 0.408s,88.49, 16.09s, 1.58s
0.135s, 95.172s, 0.406s,88.74, 16.05s, 1.59s
0.130s, 95.334s, 0.397s,88.7, 16.04s, 1.58s
0.124s, 95.614s, 0.397s,88.95, 16.04s, 1.58s
0.124s, 95.536s, 0.407s,89.06, 16.05s, 1.58s
0.113s, 95.882s, 0.406s,89.09, 16.04s, 1.54s
0.116s, 95.886s, 0.374s,89.83, 16.03s, 1.59s
0.104s, 96.340s, 0.430s,88.69, 16.05s, 1.58s
