train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.566, 42.432, 1.439, 51.560, 22.04, 2.48
1.069, 61.734, 0.928, 67.250, 20.00, 2.45
0.841, 70.526, 1.055, 66.580, 20.87, 2.45
0.707, 75.334, 0.630, 78.280, 20.00, 2.48
0.620, 78.714, 0.655, 77.790, 20.90, 2.35
0.564, 80.608, 0.582, 80.300, 19.74, 2.37
0.513, 82.364, 0.555, 81.260, 20.59, 2.34
0.477, 83.684, 0.549, 81.090, 19.71, 2.32
0.445, 84.772, 0.580, 80.470, 20.72, 2.38
0.420, 85.560, 0.463, 84.270, 19.92, 2.32
0.388, 86.706, 0.494, 83.940, 20.92, 2.42
0.371, 87.384, 0.482, 84.330, 19.81, 2.43
0.348, 87.948, 0.412, 86.060, 20.88, 2.44
0.332, 88.624, 0.472, 84.430, 20.25, 2.42
0.312, 89.234, 0.393, 87.120, 20.00, 3.38
0.297, 89.766, 0.408, 86.830, 20.08, 2.38
0.289, 89.924, 0.379, 87.580, 20.32, 3.36
0.268, 90.534, 0.390, 87.220, 20.08, 2.42
0.260, 90.950, 0.490, 84.310, 20.28, 3.00
0.246, 91.450, 0.402, 87.210, 20.50, 2.36
0.234, 91.838, 0.400, 87.600, 20.09, 2.45
0.232, 91.898, 0.391, 87.980, 21.07, 2.48
0.218, 92.470, 0.409, 87.750, 19.82, 2.40
0.215, 92.506, 0.381, 88.410, 20.87, 2.39
0.200, 93.044, 0.384, 88.130, 19.86, 2.33
0.189, 93.322, 0.367, 88.940, 20.66, 2.36
0.181, 93.584, 0.375, 88.800, 19.44, 2.30
0.178, 93.690, 0.362, 89.250, 20.56, 2.33
0.167, 94.066, 0.384, 88.700, 19.67, 2.35
0.162, 94.370, 0.354, 89.610, 20.65, 2.46
0.160, 94.400, 0.361, 89.530, 19.81, 2.30
0.147, 94.718, 0.378, 89.360, 20.55, 2.33
0.146, 94.918, 0.391, 89.070, 19.48, 2.30
0.139, 95.086, 0.388, 89.080, 19.63, 3.25
0.132, 95.322, 0.364, 89.610, 19.58, 2.34
0.129, 95.434, 0.424, 89.060, 19.64, 2.37
0.125, 95.564, 0.373, 89.940, 20.48, 2.37
0.117, 95.782, 0.381, 89.760, 19.56, 2.32
0.119, 95.822, 0.391, 89.410, 20.66, 2.35
0.111, 96.030, 0.393, 89.310, 19.60, 2.35
0.109, 96.220, 0.359, 90.160, 20.42, 2.43
0.105, 96.232, 0.346, 90.370, 19.51, 2.37
0.099, 96.450, 0.401, 89.680, 20.26, 2.28
0.099, 96.486, 0.408, 89.630, 19.60, 2.33
0.095, 96.682, 0.437, 89.010, 20.31, 2.31
0.095, 96.640, 0.391, 89.850, 19.57, 2.32
0.090, 96.750, 0.375, 90.440, 19.47, 3.31
0.082, 97.124, 0.369, 90.660, 19.37, 2.42
0.080, 97.104, 0.379, 90.830, 19.48, 2.30
0.083, 97.080, 0.397, 90.090, 20.58, 2.30
0.079, 97.204, 0.390, 90.280, 19.58, 2.33
0.076, 97.304, 0.428, 89.280, 20.31, 2.34
0.071, 97.468, 0.383, 90.280, 19.37, 2.31
0.067, 97.690, 0.390, 90.610, 20.43, 2.37
0.069, 97.590, 0.387, 90.290, 19.42, 2.46
0.066, 97.618, 0.407, 90.380, 20.24, 2.34
0.065, 97.708, 0.394, 90.680, 19.46, 2.33
0.059, 97.940, 0.380, 90.520, 19.54, 3.25
0.064, 97.694, 0.408, 90.340, 19.58, 2.29
0.061, 97.864, 0.413, 90.470, 19.51, 2.32
0.057, 97.990, 0.446, 89.920, 20.43, 2.32
