train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.486, 45.188, 1.200, 56.940, 15.42, 1.53
0.995, 64.576, 0.923, 68.000, 14.89, 1.54
0.775, 72.906, 0.774, 73.120, 14.98, 1.63
0.654, 77.230, 0.770, 73.890, 15.10, 1.52
0.575, 79.898, 0.628, 78.790, 15.01, 1.57
0.517, 82.140, 0.594, 80.480, 15.12, 1.64
0.480, 83.252, 0.582, 80.760, 15.11, 1.48
0.440, 84.602, 0.504, 83.290, 15.16, 1.59
0.406, 85.950, 0.566, 81.720, 15.21, 1.60
0.380, 86.664, 0.453, 85.290, 15.27, 1.63
0.355, 87.624, 0.428, 86.140, 15.26, 1.60
0.335, 88.228, 0.425, 85.970, 15.24, 1.53
0.319, 88.954, 0.451, 85.370, 15.31, 1.52
0.304, 89.276, 0.451, 85.060, 15.32, 1.51
0.285, 89.976, 0.412, 86.510, 15.31, 1.56
0.268, 90.664, 0.425, 86.290, 15.38, 1.51
0.253, 91.032, 0.462, 85.710, 15.45, 1.65
0.246, 91.390, 0.474, 85.130, 15.42, 1.50
0.229, 91.890, 0.413, 87.110, 15.42, 1.51
0.224, 92.158, 0.376, 87.990, 15.56, 1.63
0.211, 92.620, 0.421, 87.400, 15.52, 1.47
0.199, 92.864, 0.437, 86.790, 15.48, 1.54
0.190, 93.278, 0.366, 88.780, 15.48, 1.72
0.184, 93.442, 0.399, 88.450, 15.56, 1.64
0.172, 93.820, 0.377, 88.360, 15.50, 1.47
0.166, 94.112, 0.402, 88.290, 15.50, 1.63
0.161, 94.234, 0.393, 88.660, 15.49, 1.66
0.153, 94.554, 0.461, 86.990, 15.54, 1.53
0.147, 94.696, 0.400, 88.790, 15.49, 1.60
0.140, 95.038, 0.404, 88.750, 15.52, 1.57
0.140, 95.024, 0.373, 89.420, 15.59, 1.65
0.129, 95.412, 0.368, 89.460, 15.51, 1.55
0.125, 95.546, 0.383, 89.520, 15.49, 1.68
0.119, 95.770, 0.471, 87.750, 15.48, 1.56
0.114, 95.894, 0.466, 88.160, 15.54, 1.59
0.109, 95.978, 0.394, 89.440, 15.43, 1.48
0.105, 96.282, 0.417, 89.140, 15.48, 1.57
0.100, 96.434, 0.400, 89.340, 15.54, 1.67
0.099, 96.496, 0.472, 88.460, 15.51, 1.53
0.093, 96.684, 0.407, 90.150, 15.51, 1.63
0.090, 96.734, 0.445, 89.520, 15.55, 1.57
0.088, 96.830, 0.414, 89.790, 15.54, 1.53
0.084, 96.990, 0.410, 89.920, 15.53, 1.49
0.074, 97.390, 0.439, 89.470, 15.54, 1.55
0.074, 97.336, 0.412, 89.870, 15.59, 1.55
0.079, 97.142, 0.465, 89.240, 15.54, 1.47
0.073, 97.400, 0.388, 90.440, 15.44, 1.56
0.066, 97.648, 0.426, 90.220, 15.59, 1.62
0.071, 97.490, 0.430, 90.130, 15.57, 1.56
0.062, 97.830, 0.420, 90.170, 15.49, 1.57
0.064, 97.712, 0.427, 89.810, 15.50, 1.58
0.059, 97.942, 0.433, 90.250, 15.61, 1.51
0.057, 97.974, 0.458, 89.880, 15.53, 1.60
0.055, 98.012, 0.459, 90.060, 15.53, 1.56
0.057, 97.974, 0.423, 90.120, 15.56, 1.60
0.053, 98.106, 0.438, 90.430, 15.55, 1.64
0.056, 97.986, 0.445, 90.610, 15.50, 1.58
0.053, 98.180, 0.429, 90.560, 15.50, 1.62
0.050, 98.142, 0.453, 89.910, 15.62, 1.57
