train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.834s, 32.174s, 1.528s, 43.330s, 15.67s, 1.53s
1.390s, 49.056s, 1.223s, 55.710s, 14.99s, 1.65s
1.107s, 60.148s, 1.051s, 62.360s, 15.16s, 1.62s
0.931s, 67.208s, 0.839s, 70.160s, 15.19s, 1.52s
0.779s, 72.612s, 0.717s, 75.260s, 15.27s, 1.69s
0.675s, 76.512s, 0.684s, 76.510s, 15.32s, 1.61s
0.605s, 78.774s, 0.620s, 78.940s, 15.49s, 1.50s
0.542s, 81.062s, 0.603s, 80.140s, 15.52s, 1.55s
0.493s, 82.874s, 0.589s, 80.000s, 15.57s, 1.52s
0.456s, 84.254s, 0.536s, 82.040s, 15.65s, 1.66s
0.422s, 85.230s, 0.511s, 83.240s, 15.71s, 1.65s
0.391s, 86.396s, 0.466s, 84.410s, 15.60s, 1.54s
0.367s, 87.104s, 0.445s, 84.950s, 15.57s, 1.61s
0.344s, 87.896s, 0.463s, 84.610s, 15.67s, 1.67s
0.323s, 88.672s, 0.401s, 86.490s, 15.75s, 1.58s
0.297s, 89.602s, 0.414s, 86.250s, 15.89s, 1.54s
0.285s, 89.882s, 0.390s, 87.510s, 15.83s, 1.63s
0.272s, 90.506s, 0.412s, 86.300s, 15.81s, 1.54s
0.251s, 91.196s, 0.416s, 86.820s, 15.71s, 1.50s
0.244s, 91.384s, 0.387s, 87.680s, 15.68s, 1.61s
0.229s, 91.876s, 0.362s, 88.210s, 15.71s, 1.66s
0.215s, 92.432s, 0.389s, 88.040s, 15.64s, 1.53s
0.205s, 92.602s, 0.387s, 87.670s, 15.79s, 1.58s
0.196s, 93.062s, 0.401s, 88.080s, 15.81s, 1.56s
0.186s, 93.314s, 0.399s, 87.640s, 15.84s, 1.58s
0.178s, 93.790s, 0.378s, 88.490s, 15.85s, 1.57s
0.167s, 94.158s, 0.389s, 88.390s, 15.87s, 1.48s
0.161s, 94.248s, 0.473s, 86.860s, 15.87s, 1.52s
0.155s, 94.542s, 0.388s, 89.050s, 15.77s, 1.56s
0.146s, 94.726s, 0.403s, 88.440s, 15.72s, 1.50s
0.138s, 95.028s, 0.401s, 89.090s, 15.93s, 1.73s
0.134s, 95.280s, 0.416s, 88.660s, 15.90s, 1.54s
