train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
2.104, 21.270, 1.865, 30.880, 15.26, 1.62
1.828, 30.792, 1.705, 36.460, 14.53, 1.51
1.711, 35.436, 1.600, 41.240, 14.50, 1.58
1.627, 39.124, 1.533, 43.080, 14.54, 1.68
1.554, 41.986, 1.464, 45.760, 14.55, 1.63
1.491, 44.540, 1.405, 47.620, 14.58, 1.57
1.442, 46.786, 1.361, 49.900, 14.64, 1.57
1.392, 48.802, 1.323, 51.610, 14.70, 1.56
1.347, 50.778, 1.283, 53.220, 14.76, 1.67
1.308, 52.246, 1.240, 54.870, 14.69, 1.66
1.271, 53.688, 1.239, 55.530, 14.80, 1.61
1.234, 55.090, 1.207, 56.580, 14.68, 1.63
1.201, 56.230, 1.163, 58.590, 14.65, 1.69
1.172, 57.446, 1.164, 58.230, 14.56, 1.55
1.139, 58.936, 1.157, 58.510, 14.60, 1.55
1.113, 59.984, 1.098, 60.460, 14.61, 1.60
1.087, 60.948, 1.066, 61.800, 14.57, 1.63
1.068, 61.634, 1.037, 63.000, 14.51, 1.62
1.041, 62.446, 1.026, 63.360, 14.58, 1.73
1.017, 63.508, 0.997, 64.470, 14.57, 1.56
0.999, 64.338, 1.048, 63.010, 14.62, 1.53
0.979, 65.088, 1.004, 64.540, 14.56, 1.50
0.958, 65.550, 0.963, 66.280, 14.64, 1.67
0.941, 66.438, 0.944, 66.360, 14.64, 1.64
0.925, 66.936, 0.914, 67.450, 14.70, 1.56
0.907, 67.614, 0.921, 67.630, 14.75, 1.62
0.894, 68.032, 0.902, 68.040, 14.76, 1.60
0.877, 68.888, 0.888, 68.710, 14.85, 1.63
0.864, 69.494, 0.870, 69.570, 14.92, 1.70
0.849, 69.698, 0.887, 68.830, 15.03, 1.58
0.831, 70.556, 0.856, 69.760, 15.11, 1.66
0.820, 71.012, 0.839, 70.750, 15.20, 1.59
0.810, 71.380, 0.823, 71.270, 15.26, 1.58
0.795, 71.800, 0.835, 70.780, 15.35, 1.48
0.780, 72.602, 0.818, 71.580, 15.40, 1.63
0.772, 72.866, 0.784, 72.370, 15.44, 1.63
0.757, 73.420, 0.792, 72.550, 15.50, 1.64
0.749, 73.516, 0.766, 72.950, 15.52, 1.58
0.736, 74.054, 0.756, 73.350, 15.57, 1.66
0.717, 74.884, 0.738, 73.990, 15.57, 1.60
0.714, 74.984, 0.751, 73.670, 15.24, 1.51
0.699, 75.550, 0.721, 74.680, 14.82, 1.58
0.693, 75.680, 0.742, 74.020, 14.67, 1.56
0.677, 76.098, 0.741, 73.600, 14.66, 1.61
0.672, 76.384, 0.709, 75.240, 14.58, 1.67
0.658, 76.840, 0.705, 75.340, 14.65, 1.63
0.653, 77.184, 0.683, 76.040, 14.53, 1.60
0.639, 77.654, 0.681, 75.970, 14.61, 1.69
0.630, 77.912, 0.668, 76.530, 14.63, 1.63
0.623, 78.304, 0.656, 76.860, 14.63, 1.68
0.616, 78.210, 0.660, 77.520, 14.60, 1.52
0.604, 79.010, 0.644, 77.660, 14.56, 1.57
0.598, 79.240, 0.641, 77.520, 14.60, 1.50
0.590, 79.296, 0.640, 77.860, 14.59, 1.61
0.585, 79.606, 0.645, 77.790, 14.63, 1.59
0.573, 80.114, 0.647, 77.470, 14.59, 1.48
0.569, 80.312, 0.622, 78.350, 14.61, 1.71
0.561, 80.466, 0.611, 78.700, 14.59, 1.61
0.552, 80.906, 0.656, 77.360, 14.56, 1.46
0.553, 80.566, 0.594, 79.250, 14.62, 1.54
0.540, 81.274, 0.610, 79.340, 14.62, 1.62
0.540, 81.342, 0.600, 79.350, 14.63, 1.60
0.529, 81.670, 0.619, 78.920, 14.61, 1.53
0.527, 81.678, 0.646, 78.490, 14.62, 1.51
0.518, 82.068, 0.598, 79.510, 14.54, 1.64
0.510, 82.342, 0.583, 79.620, 14.48, 1.69
0.509, 82.414, 0.593, 79.480, 14.59, 1.50
0.502, 82.556, 0.587, 79.660, 14.56, 1.56
0.497, 82.766, 0.568, 80.570, 14.57, 1.58
0.493, 82.946, 0.572, 80.560, 14.57, 1.53
0.484, 83.304, 0.585, 80.380, 14.60, 1.62
0.480, 83.296, 0.577, 80.300, 14.58, 1.52
0.476, 83.298, 0.566, 80.390, 14.59, 1.48
0.472, 83.794, 0.558, 80.800, 14.69, 1.58
0.466, 83.956, 0.553, 80.920, 14.69, 1.62
0.462, 84.080, 0.557, 81.270, 14.68, 1.58
0.459, 83.948, 0.543, 81.320, 14.74, 1.60
0.455, 84.342, 0.546, 81.280, 14.86, 1.57
0.449, 84.416, 0.541, 81.420, 14.86, 1.58
0.453, 84.416, 0.543, 81.350, 14.91, 1.52
0.444, 84.556, 0.542, 81.700, 15.08, 1.62
0.436, 84.984, 0.533, 81.790, 15.16, 1.57
0.431, 85.082, 0.536, 81.870, 15.23, 1.58
0.427, 85.132, 0.533, 81.850, 15.35, 1.66
0.423, 85.356, 0.527, 82.370, 15.10, 1.67
0.417, 85.662, 0.531, 81.810, 14.77, 1.54
0.412, 85.816, 0.534, 81.760, 14.65, 1.57
0.414, 85.566, 0.534, 82.150, 14.66, 1.65
0.407, 85.858, 0.540, 81.560, 14.60, 1.52
0.401, 85.996, 0.522, 82.170, 14.59, 1.67
0.401, 86.198, 0.548, 81.620, 14.55, 1.56
0.396, 86.294, 0.524, 82.330, 14.59, 1.52
0.398, 86.280, 0.526, 82.260, 14.53, 1.56
0.390, 86.542, 0.528, 82.410, 14.60, 1.69
0.385, 86.756, 0.517, 82.660, 14.54, 1.62
0.383, 86.764, 0.523, 82.030, 14.55, 1.57
0.380, 86.938, 0.521, 82.580, 14.54, 1.64
0.377, 86.896, 0.521, 82.740, 14.58, 1.53
0.376, 86.956, 0.517, 82.400, 14.55, 1.59
0.372, 87.064, 0.519, 82.550, 14.57, 1.55
0.367, 87.188, 0.508, 83.070, 14.57, 1.70
0.359, 87.568, 0.512, 83.050, 14.57, 1.51
0.362, 87.384, 0.496, 83.500, 14.56, 1.62
0.355, 87.846, 0.517, 83.350, 14.56, 1.61
0.355, 87.746, 0.509, 83.150, 14.57, 1.55
0.353, 87.764, 0.503, 83.300, 14.59, 1.51
0.343, 88.162, 0.491, 83.430, 14.59, 1.68
0.345, 87.944, 0.496, 83.810, 14.61, 1.63
0.344, 88.082, 0.537, 82.520, 14.73, 1.62
0.341, 88.028, 0.495, 83.510, 14.67, 1.60
0.338, 88.322, 0.505, 83.460, 14.73, 1.66
0.333, 88.594, 0.494, 83.860, 14.77, 1.64
0.329, 88.616, 0.492, 84.020, 14.82, 1.66
0.326, 88.630, 0.487, 84.040, 14.92, 1.65
0.323, 88.818, 0.495, 83.890, 15.04, 1.57
0.325, 88.718, 0.494, 83.760, 15.18, 1.50
0.323, 88.784, 0.492, 84.020, 15.24, 1.55
0.319, 88.912, 0.525, 83.140, 15.29, 1.51
0.312, 89.190, 0.501, 83.970, 15.41, 1.43
0.313, 89.218, 0.507, 83.610, 15.41, 1.61
0.307, 89.430, 0.483, 84.210, 15.28, 1.68
0.309, 89.400, 0.478, 84.390, 14.92, 1.67
0.307, 89.354, 0.512, 83.450, 14.72, 1.60
0.303, 89.442, 0.500, 83.680, 14.60, 1.60
0.297, 89.764, 0.511, 83.790, 14.62, 1.56
0.292, 89.912, 0.497, 84.040, 14.68, 1.61
0.291, 89.836, 0.508, 83.660, 14.68, 1.57
0.294, 89.824, 0.493, 84.020, 14.59, 1.56
0.291, 89.994, 0.481, 84.320, 14.69, 1.58
0.290, 90.020, 0.496, 84.160, 14.72, 1.59
0.286, 90.284, 0.512, 83.550, 14.69, 1.64
0.284, 90.134, 0.485, 84.130, 14.68, 1.72
0.281, 90.286, 0.483, 84.470, 14.71, 1.58
0.277, 90.334, 0.506, 83.990, 14.72, 1.58
0.273, 90.634, 0.494, 84.360, 14.67, 1.54
0.279, 90.306, 0.506, 84.030, 14.75, 1.56
0.270, 90.810, 0.474, 84.520, 14.88, 1.58
0.268, 90.696, 0.500, 84.150, 14.88, 1.58
0.267, 90.716, 0.489, 84.140, 14.94, 1.52
0.262, 90.904, 0.501, 84.530, 15.11, 1.61
0.264, 90.868, 0.482, 84.710, 15.16, 1.65
0.259, 90.964, 0.498, 84.470, 15.24, 1.59
0.256, 91.070, 0.503, 84.320, 15.32, 1.56
0.254, 91.188, 0.489, 84.450, 15.33, 1.58
0.254, 91.100, 0.493, 84.570, 15.39, 1.46
