train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.548, 43.006, 1.388, 51.570, 14.09, 1.58
1.106, 60.466, 1.051, 62.880, 13.70, 1.55
0.868, 69.594, 0.847, 70.410, 13.72, 1.61
0.730, 74.472, 0.751, 74.540, 13.77, 1.61
0.633, 78.078, 0.658, 77.040, 13.80, 1.62
0.572, 79.856, 0.709, 76.840, 13.89, 1.61
0.518, 82.058, 0.525, 82.390, 13.97, 1.66
0.470, 83.684, 0.600, 80.770, 14.00, 1.62
0.437, 84.884, 0.652, 79.490, 14.08, 1.66
0.409, 85.750, 0.516, 83.360, 14.14, 1.58
0.380, 87.020, 0.485, 84.340, 14.22, 1.64
0.355, 87.854, 0.588, 81.450, 14.34, 1.63
0.343, 88.192, 0.518, 83.470, 14.40, 1.65
0.319, 88.848, 0.517, 83.820, 14.40, 1.54
0.304, 89.336, 0.470, 84.410, 14.48, 1.61
0.285, 90.102, 0.473, 85.270, 14.56, 1.51
0.269, 90.594, 0.477, 85.350, 14.73, 1.60
0.259, 90.972, 0.461, 85.900, 14.71, 1.53
0.246, 91.380, 0.446, 86.250, 14.69, 1.53
0.233, 91.810, 0.429, 86.510, 14.71, 1.51
0.223, 92.150, 0.416, 87.120, 14.77, 1.59
0.214, 92.470, 0.452, 86.690, 14.76, 1.49
0.204, 92.802, 0.451, 86.920, 14.78, 1.58
0.198, 92.972, 0.458, 86.940, 14.77, 1.54
0.189, 93.334, 0.458, 85.810, 14.78, 1.60
0.178, 93.742, 0.386, 89.060, 14.74, 1.62
0.170, 94.086, 0.398, 88.520, 14.80, 1.57
0.163, 94.120, 0.401, 88.620, 14.75, 1.52
0.155, 94.386, 0.426, 88.080, 14.78, 1.60
0.146, 94.870, 0.390, 89.270, 14.74, 1.64
0.144, 94.920, 0.401, 88.710, 14.79, 1.60
0.141, 95.060, 0.418, 88.670, 14.78, 1.57
0.130, 95.316, 0.422, 88.290, 14.80, 1.54
0.129, 95.516, 0.410, 88.590, 14.78, 1.60
0.120, 95.774, 0.426, 88.490, 14.67, 1.59
0.119, 95.754, 0.454, 88.240, 14.76, 1.67
0.115, 95.862, 0.439, 88.780, 14.71, 1.61
0.108, 96.176, 0.538, 87.320, 14.70, 1.61
0.102, 96.354, 0.426, 89.510, 14.70, 1.61
0.102, 96.426, 0.429, 89.380, 14.70, 1.62
0.103, 96.350, 0.380, 89.600, 14.70, 1.68
0.091, 96.658, 0.422, 89.200, 14.69, 1.54
0.088, 96.930, 0.439, 89.370, 14.70, 1.59
0.089, 96.814, 0.424, 89.770, 14.68, 1.60
0.082, 97.128, 0.457, 89.140, 14.67, 1.50
0.080, 97.134, 0.440, 89.690, 14.65, 1.63
0.075, 97.344, 0.471, 88.610, 14.71, 1.53
0.077, 97.262, 0.476, 88.900, 14.64, 1.66
0.073, 97.360, 0.407, 90.450, 14.72, 1.54
0.072, 97.466, 0.425, 90.000, 14.66, 1.55
0.068, 97.614, 0.426, 90.280, 14.68, 1.56
0.063, 97.790, 0.449, 89.760, 14.68, 1.53
0.064, 97.726, 0.456, 89.620, 14.69, 1.60
0.061, 97.806, 0.447, 89.790, 14.70, 1.52
0.056, 98.042, 0.468, 89.590, 14.68, 1.54
0.057, 97.934, 0.479, 89.400, 14.63, 1.54
0.055, 98.018, 0.480, 89.980, 14.67, 1.52
0.053, 98.138, 0.451, 90.030, 14.68, 1.48
0.049, 98.238, 0.432, 90.690, 14.72, 1.65
0.051, 98.188, 0.495, 89.770, 14.73, 1.62
0.043, 98.516, 0.467, 90.410, 14.69, 1.56
0.050, 98.238, 0.530, 89.030, 14.78, 1.55
0.049, 98.242, 0.466, 90.160, 14.73, 1.53
0.046, 98.336, 0.483, 90.070, 14.68, 1.47
0.045, 98.396, 0.475, 90.790, 14.68, 1.60
0.045, 98.480, 0.467, 90.580, 14.70, 1.56
0.041, 98.500, 0.436, 91.100, 14.73, 1.71
0.041, 98.548, 0.460, 90.860, 14.69, 1.59
0.040, 98.550, 0.470, 90.310, 14.65, 1.51
0.041, 98.618, 0.445, 91.040, 14.69, 1.55
0.036, 98.718, 0.475, 90.630, 14.69, 1.54
0.035, 98.818, 0.439, 91.190, 14.66, 1.62
0.032, 98.866, 0.459, 90.960, 14.69, 1.61
0.034, 98.818, 0.460, 91.150, 14.72, 1.62
0.035, 98.738, 0.480, 90.650, 14.70, 1.56
0.038, 98.684, 0.468, 90.600, 14.69, 1.55
0.032, 98.838, 0.484, 90.400, 14.68, 1.56
0.031, 98.924, 0.459, 91.020, 14.68, 1.59
0.029, 98.984, 0.480, 91.040, 14.66, 1.53
0.028, 99.006, 0.494, 90.930, 14.69, 1.42
