train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.520, 43.642, 1.378, 51.530, 14.18, 1.55
1.015, 63.526, 1.074, 64.390, 14.21, 1.69
0.785, 72.150, 0.874, 70.850, 14.33, 1.65
0.664, 76.852, 0.785, 74.190, 14.47, 1.53
0.576, 79.854, 0.732, 74.700, 14.54, 1.55
0.524, 81.762, 0.664, 79.110, 14.66, 1.54
0.473, 83.620, 0.601, 79.990, 14.73, 1.62
0.440, 84.626, 0.581, 80.850, 14.75, 1.62
0.402, 86.022, 0.539, 82.330, 14.75, 1.61
0.375, 86.926, 0.540, 81.960, 14.68, 1.52
0.350, 87.916, 0.609, 81.060, 14.66, 1.55
0.333, 88.502, 0.452, 85.020, 14.62, 1.58
0.313, 88.950, 0.479, 84.270, 14.67, 1.55
0.291, 89.776, 0.463, 85.050, 14.69, 1.71
0.278, 90.430, 0.486, 84.770, 14.64, 1.48
0.270, 90.620, 0.455, 85.410, 14.65, 1.60
0.247, 91.388, 0.496, 84.940, 14.61, 1.54
0.236, 91.676, 0.451, 85.940, 14.64, 1.62
0.230, 92.022, 0.440, 86.900, 14.64, 1.51
0.215, 92.448, 0.436, 87.270, 14.59, 1.58
0.205, 92.750, 0.526, 84.970, 14.70, 1.60
0.200, 92.958, 0.380, 88.220, 14.76, 1.64
0.187, 93.364, 0.437, 87.470, 14.70, 1.58
0.176, 93.706, 0.403, 87.720, 14.64, 1.50
0.176, 93.760, 0.413, 88.240, 14.65, 1.60
0.166, 94.140, 0.383, 88.910, 14.60, 1.52
0.161, 94.256, 0.458, 86.990, 14.63, 1.54
0.151, 94.590, 0.504, 86.710, 14.68, 1.54
0.143, 94.926, 0.446, 87.730, 14.78, 1.56
0.139, 95.054, 0.399, 89.030, 14.69, 1.57
0.133, 95.210, 0.465, 87.990, 14.61, 1.52
0.128, 95.404, 0.416, 88.480, 14.59, 1.53
0.116, 95.908, 0.434, 89.020, 14.63, 1.59
0.120, 95.698, 0.512, 87.090, 14.58, 1.57
0.113, 95.916, 0.452, 88.820, 14.71, 1.54
0.103, 96.330, 0.413, 89.200, 14.73, 1.66
0.110, 96.030, 0.429, 89.000, 14.67, 1.55
0.100, 96.364, 0.428, 89.410, 14.63, 1.62
0.090, 96.780, 0.465, 88.690, 14.62, 1.58
0.091, 96.686, 0.433, 89.830, 14.68, 1.64
0.093, 96.688, 0.457, 88.820, 14.76, 1.59
0.087, 96.982, 0.400, 90.060, 14.73, 1.58
0.082, 97.062, 0.418, 90.290, 14.68, 1.61
0.080, 97.212, 0.405, 90.050, 14.65, 1.51
0.076, 97.234, 0.400, 90.290, 14.68, 1.46
0.073, 97.422, 0.434, 89.600, 14.61, 1.56
0.067, 97.678, 0.433, 89.690, 14.58, 1.59
0.066, 97.582, 0.449, 89.550, 14.72, 1.55
0.069, 97.544, 0.430, 90.210, 14.76, 1.57
0.066, 97.674, 0.431, 89.780, 14.67, 1.56
0.062, 97.792, 0.483, 89.340, 14.61, 1.48
0.058, 97.944, 0.423, 90.340, 14.56, 1.54
0.061, 97.820, 0.447, 90.250, 14.56, 1.53
0.057, 97.948, 0.434, 90.050, 14.66, 1.58
0.051, 98.200, 0.476, 89.580, 14.77, 1.46
0.054, 98.164, 0.428, 90.400, 14.80, 1.60
0.050, 98.244, 0.435, 90.190, 14.68, 1.55
0.051, 98.226, 0.470, 89.870, 14.25, 1.58
0.049, 98.254, 0.435, 90.180, 14.06, 1.44
0.047, 98.438, 0.499, 90.010, 13.85, 1.51
0.044, 98.400, 0.458, 90.210, 13.84, 1.66
0.043, 98.464, 0.479, 89.990, 13.80, 1.57
0.041, 98.556, 0.475, 90.410, 13.83, 1.58
0.036, 98.734, 0.457, 90.560, 13.80, 1.57
0.038, 98.638, 0.471, 90.380, 13.76, 1.60
0.042, 98.532, 0.485, 89.920, 13.79, 1.45
0.042, 98.522, 0.477, 90.460, 13.80, 1.53
0.035, 98.746, 0.479, 90.280, 13.80, 1.51
0.036, 98.710, 0.516, 90.350, 13.78, 1.64
0.035, 98.744, 0.490, 90.680, 13.78, 1.54
0.034, 98.804, 0.450, 90.710, 13.88, 1.65
0.035, 98.808, 0.460, 90.700, 13.85, 1.55
0.034, 98.782, 0.475, 90.280, 13.95, 1.49
0.030, 98.954, 0.465, 90.510, 13.97, 1.50
0.031, 98.936, 0.493, 90.140, 14.05, 1.54
0.029, 98.972, 0.489, 90.580, 14.09, 1.49
0.026, 99.088, 0.506, 90.620, 14.20, 1.53
0.030, 98.988, 0.469, 91.070, 14.30, 1.56
0.028, 99.034, 0.519, 90.140, 14.37, 1.62
0.028, 98.988, 0.509, 90.290, 14.47, 1.49
