train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.429, 47.484, 1.203, 58.110, 14.79, 1.49
0.939, 66.576, 0.860, 70.250, 14.76, 1.60
0.729, 74.652, 0.720, 75.800, 14.85, 1.58
0.623, 78.564, 0.685, 76.950, 14.90, 1.66
0.554, 80.818, 0.666, 77.480, 14.96, 1.61
0.499, 82.776, 0.628, 79.660, 15.03, 1.55
0.464, 84.074, 0.585, 80.970, 15.09, 1.58
0.426, 85.380, 0.505, 82.880, 15.06, 1.60
0.394, 86.388, 0.529, 83.070, 15.16, 1.63
0.371, 87.226, 0.438, 85.340, 15.18, 1.59
0.349, 87.926, 0.444, 85.540, 15.17, 1.59
0.334, 88.514, 0.434, 85.890, 15.23, 1.63
0.307, 89.316, 0.459, 84.850, 15.26, 1.53
0.298, 89.660, 0.406, 86.820, 15.20, 1.53
0.278, 90.482, 0.445, 85.460, 15.30, 1.62
0.268, 90.824, 0.418, 86.210, 15.33, 1.48
0.252, 91.306, 0.454, 85.690, 15.33, 1.63
0.240, 91.520, 0.384, 87.530, 15.40, 1.59
0.231, 91.896, 0.388, 88.260, 15.42, 1.64
0.218, 92.462, 0.413, 87.320, 15.45, 1.58
0.211, 92.594, 0.411, 87.180, 15.54, 1.60
0.202, 92.842, 0.390, 88.380, 15.57, 1.65
0.189, 93.360, 0.371, 88.710, 15.44, 1.66
0.183, 93.578, 0.396, 88.410, 15.46, 1.68
0.172, 93.936, 0.422, 87.890, 15.53, 1.50
0.173, 94.020, 0.459, 87.080, 15.62, 1.58
0.162, 94.298, 0.394, 88.520, 15.66, 1.60
0.157, 94.558, 0.416, 88.180, 15.49, 1.56
0.151, 94.544, 0.427, 88.420, 15.56, 1.56
0.139, 95.084, 0.393, 89.060, 15.55, 1.62
0.141, 94.982, 0.417, 88.290, 15.62, 1.49
0.133, 95.334, 0.403, 89.120, 15.63, 1.54
0.128, 95.472, 0.471, 88.460, 15.61, 1.58
0.124, 95.528, 0.370, 89.280, 15.51, 1.61
0.114, 95.972, 0.389, 89.660, 15.46, 1.58
0.111, 96.078, 0.397, 89.540, 15.44, 1.54
0.110, 96.128, 0.377, 90.010, 15.48, 1.63
0.105, 96.220, 0.390, 89.710, 15.60, 1.59
0.105, 96.290, 0.404, 89.600, 15.51, 1.56
0.100, 96.484, 0.432, 89.240, 15.46, 1.65
0.095, 96.640, 0.382, 89.940, 15.48, 1.58
0.092, 96.714, 0.411, 90.070, 15.38, 1.59
0.085, 96.942, 0.376, 90.070, 15.42, 1.58
0.085, 96.978, 0.405, 89.710, 15.40, 1.57
0.084, 97.028, 0.405, 89.860, 15.50, 1.53
0.080, 97.252, 0.397, 90.140, 15.72, 1.53
0.070, 97.546, 0.401, 89.870, 15.66, 1.59
0.071, 97.476, 0.381, 90.590, 15.65, 1.70
0.068, 97.580, 0.471, 89.090, 15.46, 1.53
0.069, 97.492, 0.411, 90.230, 15.59, 1.51
0.072, 97.416, 0.423, 89.920, 15.68, 1.53
0.066, 97.694, 0.445, 89.790, 15.70, 1.52
0.064, 97.694, 0.427, 90.580, 15.60, 1.64
0.060, 97.852, 0.421, 90.370, 15.44, 1.51
0.058, 97.880, 0.414, 90.430, 15.44, 1.46
0.056, 97.948, 0.452, 90.190, 15.41, 1.64
0.058, 97.896, 0.439, 90.330, 15.54, 1.60
0.056, 98.024, 0.423, 90.410, 15.69, 1.61
0.055, 98.044, 0.418, 90.670, 15.62, 1.50
0.049, 98.250, 0.412, 90.840, 15.49, 1.47
0.051, 98.162, 0.446, 90.540, 15.57, 1.63
0.046, 98.362, 0.434, 90.710, 15.54, 1.44
0.047, 98.336, 0.422, 90.750, 15.61, 1.56
0.047, 98.356, 0.441, 90.400, 15.58, 1.53
0.044, 98.438, 0.427, 90.710, 15.56, 1.68
0.045, 98.382, 0.427, 91.020, 15.57, 1.61
0.044, 98.444, 0.409, 91.180, 15.54, 1.61
0.042, 98.500, 0.417, 90.940, 15.56, 1.61
0.040, 98.566, 0.440, 90.710, 15.62, 1.56
0.037, 98.724, 0.438, 91.030, 15.51, 1.59
0.040, 98.620, 0.434, 91.290, 15.52, 1.56
0.040, 98.638, 0.446, 90.860, 15.50, 1.63
0.035, 98.754, 0.474, 90.320, 15.41, 1.54
0.034, 98.820, 0.442, 91.290, 15.46, 1.43
0.036, 98.766, 0.422, 91.160, 15.63, 1.55
0.035, 98.802, 0.507, 90.420, 15.66, 1.46
0.036, 98.710, 0.480, 90.370, 15.52, 1.53
0.036, 98.800, 0.449, 91.280, 15.51, 1.59
0.032, 98.872, 0.482, 90.400, 15.52, 1.54
0.030, 98.976, 0.440, 91.000, 15.42, 1.56
